Amblystegiaceae|ヤナギゴケ科|ヤナギゴケ|Leptodictyum riparium|Leptodictyum riparium (Hedw.) Warnst.|0|0||
Amblystegiaceae|ヤナギゴケ科|ニセイトヤナギゴケ|Platydictya confervoides|Platydictya confervoides (Brid.) H.A.Crum|0|0||
Amblystegiaceae|ヤナギゴケ科|フォーリーイトヤナギゴケ|Platydictya fauriei|Platydictya fauriei (Cardot) Z.Iwats. et Nog.|0|0||
Amblystegiaceae|ヤナギゴケ科|ハットリイトヤナギゴケ|Platydictya hattorii|Platydictya hattorii Kanda|0|0||
Amblystegiaceae|ヤナギゴケ科|イボネヒメヤナギゴケ|Platydictya jungermannioides|Platydictya jungermannioides (Brid.) H.A.Crum|0|0||
Amblystegiaceae|ヤナギゴケ科|イトヤナギゴケモドキ|Platydictya subtilis|Platydictya subtilis (Hedw.) H.A.Crum|0|0||
Amblystegiaceae|ヤナギゴケ科|カギハイゴケ|Sanionia uncinata|Sanionia uncinata (Hedw.) Loeske|0|0||
Amblystegiaceae|ヤナギゴケ科|ササオカゴケ|Sasaokaea aomoriensis|Sasaokaea aomoriensis (Paris) Kanda|0|0||
Anastrophyllaceae|?科|タチクモマゴケ|Anastrepta orcadensis|Anastrepta orcadensis (Hook.) Schiffn.|0|0||
Anastrophyllaceae|?科|タカネアミバゴケ|Anastrophyllum assimile|Anastrophyllum assimile (Mitt.) Steph.|0|0||
Anastrophyllaceae|?科|マエバラアミバゴケ|Anastrophyllum bidens|Anastrophyllum bidens (Nees) Steph.|0|0||
Anastrophyllaceae|?科|オノイチョウゴケ|Anastrophyllum ellipticum|Anastrophyllum ellipticum Inoue|0|0||
Anastrophyllaceae|?科|コダマイチョウゴケ|Anastrophyllum hellerianum|Anastrophyllum hellerianum (Nees ex Lindenb.) R.M.Schust.|0|0||
Anastrophyllaceae|?科|アミバゴケ|Anastrophyllum michauxii|Anastrophyllum michauxii (F.Weber) H.Buch|0|0||
Anastrophyllaceae|?科|ヒメイチョウゴケ|Anastrophyllum minutum|Anastrophyllum minutum (Schreb. ex Crantz) R.M.Schust.|0|0||
Anastrophyllaceae|?科|カラフトイチョウゴケ|Anastrophyllum saxicola|Anastrophyllum saxicola (Schrad.) R.M.Schust.|0|0||
Anastrophyllaceae|?科|ホソイチョウウロコゴケ|Barbilophozia attenuata|Barbilophozia attenuata (Mart.) Loeske|0|0||
Anastrophyllaceae|?科|テガタモミジゴケ|Barbilophozia barbata|Barbilophozia barbata (Schreb.) Loeske|0|0||
Anastrophyllaceae|?科|ミツデモミジゴケ|Barbilophozia floerkei|Barbilophozia floerkei (F.Weber et D.Mohr) Loeske|0|0||
Anastrophyllaceae|?科|ヒメモミジゴケ|Barbilophozia hatcheri|Barbilophozia hatcheri (A.Evans) Loeske|0|0||
Anastrophyllaceae|?科|ヌマイチョウゴケ|Barbilophozia kunzeana|Barbilophozia kunzeana (Huebener) Müll.Frib.|0|0||
Anastrophyllaceae|?科|モミジゴケ|Barbilophozia lycopodioides|Barbilophozia lycopodioides (Wallr.) Loeske|0|0||
Anastrophyllaceae|?科|ヘリトリウロコゴケ|Gymnocolea inflata|Gymnocolea inflata (Huds.) Dumort.|0|0||
Anastrophyllaceae|?科|アイバゴケ|Plicanthus birmensis|Plicanthus birmensis (Steph.) R.M.Schust.|0|0||
Anastrophyllaceae|?科|トゲアイバゴケ|Plicanthus hirtellus|Plicanthus hirtellus (F.Weber) R.M.Schust.|0|0||
Anastrophyllaceae|?科|キノボリヤバネゴケ|Sphenolobopsis pearsonii|Sphenolobopsis pearsonii (Spruce) R.M.Schust.|0|0||
Anastrophyllaceae|?科|フサアイバゴケ|Tetralophozia filiformis|Tetralophozia filiformis (Steph.) Urmi|0|0||
Andreaeaceae|クロゴケ科|ガッサンクロゴケ|Andreaea nivalis|Andreaea nivalis Hook.|0|0||
Andreaeaceae|クロゴケ科|クロゴケ|Andreaea rupestris var. fauriei|Andreaea rupestris Hedw.  var. fauriei (Besch.) Takaki|0|0||
Aneuraceae|スジゴケ科|イヌミドリゼニゴケ|Aneura blasioides|Aneura blasioides (Horik.) Furuki|0|0||
Aneuraceae|スジゴケ科|コモチミドリゼニゴケ|Aneura gemmifera|Aneura gemmifera Furuki|0|0||
Aneuraceae|スジゴケ科|ケミドリゼニゴケ|Aneura hirsuta|Aneura hirsuta Furuki|0|0||
Aneuraceae|スジゴケ科|ミズゼニゴケモドキ|Aneura maxima|Aneura maxima (Schiffn.) Steph.|0|0||
Aneuraceae|スジゴケ科|ミドリゼニゴケ|Aneura pinguis|Aneura pinguis (L.) Dumort.|0|0||
Aneuraceae|スジゴケ科|ヤクシマテングサゴケ|Lobatiriccardia yakusimensis|Lobatiriccardia yakusimensis (S.Hatt.) Furuki|0|0||
Aneuraceae|スジゴケ科|アオテングサゴケ|Riccardia aeruginosa|Riccardia aeruginosa Furuki|0|0||
Aneuraceae|スジゴケ科|ユミスジゴケ|Riccardia arcuata|Riccardia arcuata Furuki|0|0||
Aneuraceae|スジゴケ科|トゲスジゴケ|Riccardia baumannii|Riccardia baumannii Hürl.|0|0||
Aneuraceae|スジゴケ科|ナミガタスジゴケ|Riccardia chamedryfolia|Riccardia chamedryfolia (With.) Grolle|0|0||
Aneuraceae|スジゴケ科|カネマルテングサゴケ|Riccardia crassa|Riccardia crassa (Schwägr.) C.Massal.|0|0||
Aneuraceae|スジゴケ科|キテングサゴケ|Riccardia flavovirens|Riccardia flavovirens Furuki|0|0||
Aneuraceae|スジゴケ科|シロテングサゴケ|Riccardia glauca|Riccardia glauca Furuki|0|0||
Aneuraceae|スジゴケ科|ナンヨウテングサゴケ|Riccardia graeffei|Riccardia graeffei (Steph.) Hewson|0|0||
Aneuraceae|スジゴケ科|コダマテングサゴケ|Riccardia kodamae|Riccardia kodamae Mizut. et S.Hatt.|0|0||
Aneuraceae|スジゴケ科|ヒロハテングサゴケ|Riccardia latifrons|Riccardia latifrons (Lindb.) Lindb.|0|0||
Aneuraceae|スジゴケ科|ミヤケテングサゴケ|Riccardia latifrons var. miyakeana|Riccardia latifrons (Lindb.) Lindb.  var. miyakeana (Schiffn.) Furuki|0|0||
Aneuraceae|スジゴケ科|フチドリスジゴケ|Riccardia marginata var. pacifica|Riccardia marginata (Colenso) Pearson  var. pacifica Furuki|0|0||
Aneuraceae|スジゴケ科|クシノハスジゴケ|Riccardia multifida|Riccardia multifida (L.) Gray|0|0||
Aneuraceae|スジゴケ科|クシノハスジゴケ|Riccardia multifida subsp. decrescens|Riccardia multifida (L.) Gray  subsp. decrescens (Steph.) Furuki|0|0||
Aneuraceae|スジゴケ科|ナガサキテングサゴケ|Riccardia nagasakiensis|Riccardia nagasakiensis (Steph.) S.Hatt.|0|0||
Aneuraceae|スジゴケ科|モミジスジゴケ|Riccardia palmata|Riccardia palmata (Hedw.) Carruth.|0|0||
Aneuraceae|スジゴケ科|ヒメテングサゴケ|Riccardia planiflora|Riccardia planiflora (Steph.) S.Hatt.|0|0||
Aneuraceae|スジゴケ科|イトスジゴケ|Riccardia pumila|Riccardia pumila Furuki|0|0||
Aneuraceae|スジゴケ科|コテングサゴケ|Riccardia pusilla|Riccardia pusilla Grolle|0|0||
Aneuraceae|スジゴケ科|ナンセイスジゴケ|Riccardia spongiosa|Riccardia spongiosa Furuki|0|0||
Aneuraceae|スジゴケ科|タカネスジゴケ|Riccardia subalpina|Riccardia subalpina Furuki|0|0||
Aneuraceae|スジゴケ科|イボテングサゴケ|Riccardia tamariscina|Riccardia tamariscina (Steph.) Schiffn.|0|0||
Aneuraceae|スジゴケ科|ニセテングサゴケ|Riccardia vitrea|Riccardia vitrea Furuki|0|0||
Anomodontaceae|キヌイトゴケ科|ミヤマギボウシゴケモドキ|Anomodon abbreviatus|Anomodon abbreviatus Mitt.|0|0||
Anomodontaceae|キヌイトゴケ科|オオギボウシゴケモドキ|Anomodon giraldii|Anomodon giraldii Müll.Hal.|0|0||
Anomodontaceae|キヌイトゴケ科|キヌイトゴケ|Anomodon longifolius|Anomodon longifolius (Brid.) Hartm.|0|0||
Anomodontaceae|キヌイトゴケ科|ギボウシゴケモドキ|Anomodon minor|Anomodon minor (Hedw.) Fuernr.|0|0||
Anomodontaceae|キヌイトゴケ科|ギボウシゴケモドキ|Anomodon minor subsp. integerrimus|Anomodon minor (Hedw.) Fuernr.  subsp. integerrimus (Mitt.) Z.Iwats.|0|0||
Anomodontaceae|キヌイトゴケ科|エゾイトゴケ|Anomodon rugelii|Anomodon rugelii (Müll.Hal.) Keissl.|0|0||
Anomodontaceae|キヌイトゴケ科|コマノキヌイトゴケ|Anomodon thraustus|Anomodon thraustus Müll.Hal.|0|0||
Anomodontaceae|キヌイトゴケ科|キスジキヌイトゴケ|Anomodon viticulosus|Anomodon viticulosus (Hedw.) Hook. et Taylor|0|0||
Antheliaceae|カサナリゴケ科|ヒメカサナリゴケ|Anthelia juratzkana|Anthelia juratzkana (Limpr.) Trevis.|0|0||
Anthocerotaceae|ツノゴケ科|ホウライツノゴケ|Anthoceros angustus|Anthoceros angustus Steph.|0|0||
Anthocerotaceae|ツノゴケ科|タカネツノゴケ|Anthoceros fusiformis|Anthoceros fusiformis Austin|0|0||
Anthocerotaceae|ツノゴケ科|コツノゴケ|Anthoceros macounii|Anthoceros macounii M.Howe|0|0||
Anthocerotaceae|ツノゴケ科|ナガサキツノゴケ|Anthoceros punctatus|Anthoceros punctatus L.|0|0||
Anthocerotaceae|ツノゴケ科|チヂレバツノゴケ|Anthoceros subtilis|Anthoceros subtilis Steph.|0|0||
Archidiaceae|ツチゴケ科|ミヤコノツチゴケ|Archidium ohioense|Archidium ohioense Schimp. ex Müll.Hal.|0|0||
Aulacomniaceae|ヒモゴケ科|タマヒモゴケ|Aulacomnium androgynum|Aulacomnium androgynum (Hedw.) Schwägr.|0|0||
Aulacomniaceae|ヒモゴケ科|ナガミチョウチンゴケ|Aulacomnium heterostichum|Aulacomnium heterostichum (Hedw.) Bruch et Schimp.|0|0||
Aulacomniaceae|ヒモゴケ科|オオヒモゴケ|Aulacomnium palustre|Aulacomnium palustre (Hedw.) Schwägr.|0|0||
Aulacomniaceae|ヒモゴケ科|フトヒモゴケ|Aulacomnium turgidum|Aulacomnium turgidum (Wahlenb.) Schwägr.|0|0||
Aytoniaceae|ジンガサゴケ科|アツバサイハイゴケ|Asterella crassa|Asterella crassa D.Shimizu et S.Hatt.|0|0||
Aytoniaceae|ジンガサゴケ科|オオサイハイゴケ|Asterella cruciata|Asterella cruciata (Steph.) Horik.|0|0||
Aytoniaceae|ジンガサゴケ科|サイハイゴケ|Asterella gracilis|Asterella gracilis (F.Weber) Underw.|0|0||
Aytoniaceae|ジンガサゴケ科|オキナワサイハイゴケ|Asterella liukiuensis|Asterella liukiuensis (Horik.) Horik.|0|0||
Aytoniaceae|ジンガサゴケ科|ヨシナガサイハイゴケ|Asterella yoshinagana|Asterella yoshinagana (Horik.) Horik.|0|0||
Aytoniaceae|ジンガサゴケ科|ミヤコゼニゴケ|Mannia fragrans|Mannia fragrans (Balb.) Frye et L.Clark|0|0||
Aytoniaceae|ジンガサゴケ科|ウルシゼニゴケ|Mannia levigata|Mannia levigata D.Shimizu et S.Hatt.|0|0||
Aytoniaceae|ジンガサゴケ科|イワゼニゴケ|Mannia triandra|Mannia triandra (Scop.) Grolle|0|0||
Aytoniaceae|ジンガサゴケ科||Plagiochasma appendiculatum|Plagiochasma appendiculatum Lehm. et Lindenb.|0|0||
Aytoniaceae|ジンガサゴケ科|ヒナゼニゴケ|Plagiochasma japonicum|Plagiochasma japonicum (Steph.) C.Massal.|0|0||
Aytoniaceae|ジンガサゴケ科|ツボゼニゴケ|Plagiochasma pterospermum|Plagiochasma pterospermum C.Massal.|0|0||
Aytoniaceae|ジンガサゴケ科|ジンガサゴケ|Reboulia hemisphaerica|Reboulia hemisphaerica (L.) Raddi|0|0||
Aytoniaceae|ジンガサゴケ科|ジンガサゴケ|Reboulia hemisphaerica subsp. orientalis|Reboulia hemisphaerica (L.) Raddi  subsp. orientalis R.M.Schust.|0|0||
Bartramiaceae|タマゴケ科|クモマタマゴケ|Bartramia halleriana|Bartramia halleriana Hedw.|0|0||
Bartramiaceae|タマゴケ科|サワゴケモドキ|Conostomum tetragonum|Conostomum tetragonum (Hedw.) Lindb.|0|0||
Bartramiaceae|タマゴケ科|ナガクビサワゴケ|Fleischerobryum longicolle|Fleischerobryum longicolle (Hampe) Loeske|0|0||
Bartramiaceae|タマゴケ科|タマゴケモドキ|Philonotis bartramioides|Philonotis bartramioides (Griff.) D.G.Griffin et W.B.Buck|0|0||
Bartramiaceae|タマゴケ科|ニセホウライサワゴケ|Philonotis evaninervis|Philonotis evaninervis M.Fleisch.|0|0||
Bartramiaceae|タマゴケ科|カマサワゴケ|Philonotis falcata|Philonotis falcata (Hook.) Mitt.|0|0||
Bartramiaceae|タマゴケ科|サワゴケ|Philonotis fontana|Philonotis fontana (Hedw.) Brid.|0|0||
Bartramiaceae|タマゴケ科|ヒメエゾサワゴケ|Philonotis fontana var. tenuicaulis|Philonotis fontana (Hedw.) Brid.  var. tenuicaulis (Cardot) Nog.|0|0||
Bartramiaceae|タマゴケ科|ホウライサワゴケ|Philonotis hastata|Philonotis hastata (Duby) Wijk et Margad.|0|0||
Bartramiaceae|タマゴケ科|ナガバサワゴケ|Philonotis lancifolia|Philonotis lancifolia Mitt.|0|0||
Bartramiaceae|タマゴケ科|ヤワラサワゴケ|Philonotis mollis|Philonotis mollis (Dozy et Molk.) Mitt.|0|0||
Bartramiaceae|タマゴケ科|ヒメマキバサワゴケ|Philonotis secunda|Philonotis secunda (Dozy et Molk.) Bosch et Sande Lac.|0|0||
Bartramiaceae|タマゴケ科|コツクシサワゴケ|Philonotis thwaitesii|Philonotis thwaitesii Mitt.|0|0||
Bartramiaceae|タマゴケ科|オオサワゴケ|Philonotis turneriana|Philonotis turneriana (Schwägr.) Mitt.|0|0||
Bartramiaceae|タマゴケ科|エゾサワゴケ|Philonotis yezoana|Philonotis yezoana Besch. et Cardot|0|0||
Bartramiaceae|タマゴケ科|エゾタマゴケ|Plagiopus oederiana|Plagiopus oederiana  (Sw.) H.A.Crum et L.E.Anderson|0|0||
Blasiaceae|ウスバゼニゴケ科|ウスバゼニゴケ|Blasia pusilla|Blasia pusilla L.|0|0||
Blasiaceae|ウスバゼニゴケ科|シャクシゴケ|Cavicularia densa|Cavicularia densa Steph.|0|0||
Brachytheciaceae|アオギヌゴケ科|ザラツキゴケ|Brachythecium auriculatum|Brachythecium auriculatum A.Jaeger|0|0||
Brachytheciaceae|アオギヌゴケ科|アラハヒツジゴケ|Brachythecium brotheri|Brachythecium brotheri Paris|0|0||
Brachytheciaceae|アオギヌゴケ科|ナガヒツジゴケ|Brachythecium buchananii|Brachythecium buchananii (Hook.) A.Jaeger|0|0||
Brachytheciaceae|アオギヌゴケ科|チャボヒツジゴケ|Brachythecium buchananii var. gracillimum|Brachythecium buchananii (Hook.) A.Jaeger  var. gracillimum Dixon|0|0||
Brachytheciaceae|アオギヌゴケ科|シロヒツジゴケ|Brachythecium buchananii var. sawadae|Brachythecium buchananii (Hook.) A.Jaeger  var. sawadae (Cardot) Takaki|0|0||
Brachytheciaceae|アオギヌゴケ科|ノコギリアオギヌゴケ|Brachythecium campestre|Brachythecium campestre (Müll.Hal.) Bruch et Schimp.|0|0||
Brachytheciaceae|アオギヌゴケ科|シワバヒツジゴケ|Brachythecium camptothecioides|Brachythecium camptothecioides Takaki|0|0||
Brachytheciaceae|アオギヌゴケ科|ニセクロイシヒツジゴケ|Brachythecium capillaceum|Brachythecium capillaceum (F.Weber et D.Mohr) Giacom.|0|0||
Brachytheciaceae|アオギヌゴケ科|ヒゲバゴケ|Brachythecium cirrosum|Brachythecium cirrosum (Schwägr.) Schimp.|0|0||
Brachytheciaceae|アオギヌゴケ科||Brachythecium cochlearifolium|Brachythecium cochlearifolium Takaki|0|0||
Brachytheciaceae|アオギヌゴケ科|コマノヒツジゴケ|Brachythecium coreanum|Brachythecium coreanum Cardot|0|0||
Brachytheciaceae|アオギヌゴケ科|エゾアオギヌゴケ|Brachythecium curtum|Brachythecium curtum (Lindb.) Limpr.|0|0||
Brachytheciaceae|アオギヌゴケ科|ケヒツジゴケ|Brachythecium garovaglioides|Brachythecium garovaglioides Müll.Hal.|0|0||
Brachytheciaceae|アオギヌゴケ科|オノエヒツジゴケ|Brachythecium glaciale|Brachythecium glaciale Schimp.|0|0||
Brachytheciaceae|アオギヌゴケ科|ツブテゴケ|Brachythecium glareosum|Brachythecium glareosum (Spring) Bruch et Schimp.|0|0||
Brachytheciaceae|アオギヌゴケ科|ヤリヒツジゴケ|Brachythecium hastile|Brachythecium hastile Broth. et Paris|0|0||
Brachytheciaceae|アオギヌゴケ科|ヒモヒツジゴケ|Brachythecium helminthocladum|Brachythecium helminthocladum Broth. et Paris|0|0||
Brachytheciaceae|アオギヌゴケ科|クロイシヒツジゴケ|Brachythecium kuroishicum|Brachythecium kuroishicum Besch.|0|0||
