7262||卷柏科|高雄卷柏|Selaginella repanda|Selaginella repanda (Desv. ex Poir.) Spring|1|0|LC|原生
7263||卷柏科|擬密葉卷柏|Selaginella stauntoniana|Selaginella stauntoniana Spring|1|0|LC|原生
7264||卷柏科|高山卷柏|Selaginella tama-montana|Selaginella tama-montana Seriz.|1|0|DD|原生
7265||卷柏科|萬年松|Selaginella tamariscina|Selaginella tamariscina (P. Beauv.) Spring|1|0|LC|原生
7266||卷柏科|藍地柏|Selaginella uncinata|Selaginella uncinata (Desv. ex Poir.) Spring|1|0|NA|歸化
7019||石松科|杉葉蔓石松|Spinulum annotinum|Spinulum annotinum (L.) A. Haines|1|0|VU|原生
7516|Adiantaceae|鐵線蕨科|孟連鐵線蕨|Adiantum menglianense|Adiantum menglianense Y.Y.Qian|2|0|DD|原生
7499|Aspidiaceae|三叉蕨科|玉山肋毛蕨|Dryopteris nidus|Dryopteris nidus (Baker) Li Bing Zhang|2|1|LC|原生
7473|Aspidiaceae|三叉蕨科|毛三叉蕨|Tectaria rockii|Tectaria rockii C.Chr.|2|0|DD|原生
7445|Aspleniaceae|鐵角蕨科|裂葉鐵角蕨|Asplenium lobulatum|Asplenium lobulatum Mett. ex Kuhn|2|0|LC|原生
7502|Aspleniaceae|鐵角蕨科|劍羽鐵角蕨|Asplenium steerei|Asplenium steerei Harr.|2|0|VU|原生
7436|Aspleniaceae|鐵角蕨科|湍生鐵角蕨|Hymenasplenium cataractarum|Hymenasplenium cataractarum (Rosenst.) N.Murakami|2|0|LC|原生
7448|Aspleniaceae|鐵角蕨科|蔭濕膜葉鐵角蕨|Hymenasplenium obliquissimum|Hymenasplenium obliquissimum (Hayata) Sugimoto|2|0|LC|原生
7453|Athyriaceae|蹄蓋蕨科|逆羽蹄蓋蕨|Athyrium oppositipinnum var. pubescens|Athyrium oppositipinnum Hayata var. pubescens (Tagawa) Tagawa|2|0|LC|原生
7478|Athyriaceae|蹄蓋蕨科|尖阿蹄蓋蕨|Athyrium ×hohuanshanense|Athyrium ×hohuanshanense Yoshik.|2|1|NA|原生
7444|Athyriaceae|蹄蓋蕨科|紫柄蹄蓋蕨|Athyrium ×purpurascens|Athyrium ×purpurascens (Tagawa) Sa.Kurata|2|0|NA|原生
7440|Athyriaceae|蹄蓋蕨科|菲律賓貞蕨|Cornopteris philippinensis|Cornopteris philippinensis M.Kato|2|0|DD|原生
7506|Athyriaceae|蹄蓋蕨科|阿玉雙蓋蕨|Diplazium agyokuense|Diplazium agyokuense Tagawa|2|0|DD|原生
7456|Athyriaceae|蹄蓋蕨科|奄美雙蓋蕨|Diplazium amamianum|Diplazium amamianum Tagawa|2|0|LC|原生
7447|Athyriaceae|蹄蓋蕨科|粗柄雙蓋蕨|Diplazium asperum|Diplazium asperum Blume|2|0|DD|原生
7501|Athyriaceae|蹄蓋蕨科|邱氏雙蓋蕨|Diplazium chioui|Diplazium chioui T.C.Hsu|2|0|NT|原生
7519|Athyriaceae|蹄蓋蕨科|隱脈細柄雙蓋蕨|Diplazium donianum var. aphanoneuron|Diplazium donianum (Mett.) Tardieu var. aphanoneuron (Ohwi) Tagawa|2|0|LC|原生
7485|Athyriaceae|蹄蓋蕨科|角板山雙蓋蕨|Diplazium kappanensis|Diplazium kappanensis Hayata|2|0|DD|原生
7481|Athyriaceae|蹄蓋蕨科|凱達格蘭雙蓋蕨|Diplazium ketagalaniorum|Diplazium ketagalaniorum T.C.Hsu|2|0|VU|原生
7467|Athyriaceae|蹄蓋蕨科|郭氏雙蓋蕨|Diplazium kuoi|Diplazium kuoi T.C.Hsu|2|0|VU|原生
7439|Davalliaceae|骨碎補科|小膜蓋蕨|Davallia perdurans|Davallia perdurans Christ|2|0|LC|原生
7474|Davalliaceae|骨碎補科|熱帶陰石蕨|Davallia vestita|Davallia vestita Blume|2|0|DD|原生
7483|Dennstaedtiaceae|碗蕨科|華南鱗蓋蕨|Microlepia nepalensis|Microlepia nepalensis (Spreng.) Fraser-Jenk., Kandel & Pariyar|2|0|LC|原生
7509|Dennstaedtiaceae|碗蕨科|針毛鱗蓋蕨|Microlepia trapeziformis|Microlepia trapeziformis (Roxb.) Kuhn|2|0|LC|原生
7490|Dryopteridaceae|鱗毛蕨科|濱海全緣貫眾蕨|Cyrtomium falcatum subsp. australe|Cyrtomium falcatum (L.f.) C.Presl subsp. australe S.Matsumoto ex S.Matsumoto & Ebihara|2|0|LC|原生
7477|Dryopteridaceae|鱗毛蕨科|顯脈貫眾蕨|Cyrtomium nervosum|Cyrtomium nervosum Ching & K.H.Shing|2|0|DD|原生
7441|Dryopteridaceae|鱗毛蕨科|密毛鱗毛蕨|Dryopteris barbigera|Dryopteris barbigera (T.Moore ex Hook.) Kuntze|2|0|LC|原生
7496|Dryopteridaceae|鱗毛蕨科|平行鱗毛蕨|Dryopteris indusiata|Dryopteris indusiata (Makino) Makino & Yamam. ex Yamam.|2|0|NT|原生
7457|Dryopteridaceae|鱗毛蕨科|近畿鱗毛蕨|Dryopteris kinkiensis|Dryopteris kinkiensis Koidz. ex Tagawa|2|1|EN|原生
7486|Dryopteridaceae|鱗毛蕨科|脈紋鱗毛蕨|Dryopteris lachoongensis|Dryopteris lachoongensis (Bedd.) B.K.Nayar & S.Kaur|2|0|LC|原生
7458|Dryopteridaceae|鱗毛蕨科|闊基鱗毛蕨|Dryopteris latibasis|Dryopteris latibasis Ching|2|0|DD|原生
7462|Dryopteridaceae|鱗毛蕨科|密鱗鱗毛蕨|Dryopteris sinofibrillosa|Dryopteris sinofibrillosa Ching|2|0|DD|原生
7446|Dryopteridaceae|鱗毛蕨科|微彎假複葉耳蕨|Dryopteris ×subreflexipinna|Dryopteris ×subreflexipinna Ogata|2|1|NA|原生
