5593|Athyriaceae|蹄蓋蕨科|沼生蹄蓋蕨|Athyrium palustre|Athyrium palustre Seriz.|1|0|EN|原生
519|Athyriaceae|蹄蓋蕨科|貞蕨|Cornopteris decurrenti-alata|Cornopteris decurrenti-alata (Hook.) Nakai|1|0||原生
520|Athyriaceae|蹄蓋蕨科|大葉貞蕨|Cornopteris fluvialis|Cornopteris fluvialis (Hayata) Tagawa|1|0||原生
521|Athyriaceae|蹄蓋蕨科|黑葉貞蕨|Cornopteris opaca|Cornopteris opaca (D. Don) Tagawa|1|0||未知
522|Athyriaceae|蹄蓋蕨科|菲律賓貞蕨|Cornopteris philippinensis|Cornopteris philippinensis M. Kato|1|0|DD|未知
527|Athyriaceae|蹄蓋蕨科|亞蹄蓋蕨|Deparia allantodioides|Deparia allantodioides (Bedd.) M. Kato|1|0||未知
5240|Athyriaceae|蹄蓋蕨科|假腸蕨|Deparia formosana|Deparia formosana (Rosenst.) R. Sano|1|0||原生
5216|Athyriaceae|蹄蓋蕨科|昆明假蹄蓋蕨|Deparia longipes|Deparia longipes (Ching) Shinohara|1|0|DD|未知
528|Athyriaceae|蹄蓋蕨科|假蹄蓋蕨|Deparia petersenii|Deparia petersenii (Kunze) M. Kato|1|0||未知
5217|Athyriaceae|蹄蓋蕨科|羽裂雙蓋蕨|Deparia tomitaroana|Deparia tomitaroana (Masam.) R. Sano|1|0|DD|原生
530|Athyriaceae|蹄蓋蕨科|阿玉雙蓋蕨|Diplazium agyokuense|Diplazium agyokuense Tagawa|1|0|DD|未知
531|Athyriaceae|蹄蓋蕨科|奄美雙蓋蕨|Diplazium amamianum|Diplazium amamianum Tagawa|1|0||原生
532|Athyriaceae|蹄蓋蕨科|粗柄雙蓋蕨|Diplazium asperum|Diplazium asperum Blume|1|0|DD|原生
533|Athyriaceae|蹄蓋蕨科|華雙蓋蕨|Diplazium chinense|Diplazium chinense (Baker) C. Chr.|1|0|EN|原生
534|Athyriaceae|蹄蓋蕨科|邊生雙蓋蕨|Diplazium conterminum|Diplazium conterminum Christ|1|0||原生
535|Athyriaceae|蹄蓋蕨科|厚葉雙蓋蕨|Diplazium crassiusculum|Diplazium crassiusculum Ching|1|0|VU|未知
536|Athyriaceae|蹄蓋蕨科|廣葉鋸齒雙蓋蕨|Diplazium dilatatum|Diplazium dilatatum Blume|1|0||原生
537|Athyriaceae|蹄蓋蕨科|德氏雙蓋蕨|Diplazium doederleinii|Diplazium doederleinii (Luerss.) Makino|1|0||原生
538|Athyriaceae|蹄蓋蕨科|細柄雙蓋蕨|Diplazium donianum|Diplazium donianum (Mett.) Tardieu|1|0||原生
539|Athyriaceae|蹄蓋蕨科|過溝菜蕨|Diplazium esculentum|Diplazium esculentum (Retz.) Sw.|1|0||原生
5611|Athyriaceae|蹄蓋蕨科|毛軸過溝菜蕨|Diplazium esculentum var. pubescens|Diplazium esculentum var. pubescens (Link) Tardieu & C. Chr.|1|0||原生
540|Athyriaceae|蹄蓋蕨科|網脈雙蓋蕨|Diplazium formosanum|Diplazium formosanum Rosenst.|1|0||原生
541|Athyriaceae|蹄蓋蕨科|翅柄雙蓋蕨|Diplazium incomptum|Diplazium incomptum Tagawa|1|0|EN|原生
542|Athyriaceae|蹄蓋蕨科|角板山雙蓋蕨|Diplazium kappanense|Diplazium kappanensis Hayata|1|0|DD|未知
543|Athyriaceae|蹄蓋蕨科|川上氏雙蓋蕨|Diplazium kawakamii|Diplazium kawakamii Hayata|1|0||原生
544|Athyriaceae|蹄蓋蕨科|疏葉雙蓋蕨|Diplazium laxifrons|Diplazium laxifrons Rosenst.|1|0|DD|未知
545|Athyriaceae|蹄蓋蕨科|裂葉雙蓋蕨|Diplazium lobatum|Diplazium lobatum (Tagawa) Tagawa|1|0|NT|原生
546|Athyriaceae|蹄蓋蕨科|大葉雙蓋蕨|Diplazium megaphyllum|Diplazium megaphyllum (Baker) Christ|1|0|VU|原生
